-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             aten::add_         0.02%     287.817us         0.03%     445.388us      11.135us      94.818us         0.01%      94.818us       2.370us            40  
                                             aten::sqrt         0.02%     268.131us         0.03%     403.282us      10.082us      46.401us         0.00%      46.401us       1.160us            40  
                                              aten::exp         0.02%     267.000us         0.03%     427.401us      10.685us      44.992us         0.00%      44.992us       1.125us            40  
                                            aten::fill_         0.01%     237.089us         0.03%     467.433us       7.791us      54.623us         0.00%      54.623us       0.910us            60  
                                           aten::narrow         0.01%     230.449us         0.03%     531.234us       2.213us       0.000us         0.00%       0.000us       0.000us           240  
                                          aten::flatten         0.01%     215.028us         0.04%     570.128us       3.167us       0.000us         0.00%       0.000us       0.000us           180  
                                          aten::normal_         0.01%     214.312us         0.02%     350.299us      17.515us      62.721us         0.00%      62.721us       3.136us            20  
                                         cuLaunchKernel         0.01%     212.918us         0.01%     212.918us       5.323us       0.000us         0.00%       0.000us       0.000us            40  
                                          aten::reshape         0.01%     207.791us         0.05%     861.733us       6.155us       0.000us         0.00%      91.104us       0.651us           140  
                                               aten::to         0.01%     206.915us        37.90%     609.501ms       1.270ms       0.000us         0.00%       6.046ms      12.597us           480  
                                            aten::clone         0.01%     205.550us         0.23%       3.755ms      26.824us       0.000us         0.00%     155.037us       1.107us           140  
                                      aten::convolution         0.01%     202.218us         0.36%       5.837ms     145.924us       0.000us         0.00%     238.081us       5.952us            40  
                                            aten::stack         0.01%     193.784us         0.08%       1.233ms      15.410us       0.000us         0.00%      73.280us       0.916us            80  
                                            aten::slice         0.01%     173.351us         0.02%     300.785us       1.253us       0.000us         0.00%       0.000us       0.000us           240  
                                       aten::empty_like         0.01%     167.932us         0.04%     650.093us       3.612us       0.000us         0.00%       0.000us       0.000us           180  
                                         aten::meshgrid         0.01%     166.339us         0.03%     543.323us      13.583us       0.000us         0.00%       0.000us       0.000us            40  
                                   aten::cartesian_prod         0.01%     159.007us         0.13%       2.012ms      50.293us       0.000us         0.00%       0.000us       0.000us            40  
                                            aten::split         0.01%     146.503us         0.02%     324.452us      16.223us       0.000us         0.00%       0.000us       0.000us            20  
                                Activity Buffer Request         0.01%     131.535us         0.01%     131.535us      65.768us      88.800us         0.01%      88.800us      44.400us             2  
                                           aten::unbind         0.01%     129.645us         0.02%     276.501us       4.608us       0.000us         0.00%       0.000us       0.000us            60  
                                  cudaStreamIsCapturing         0.01%     127.465us         0.01%     127.465us       0.455us       0.000us         0.00%       0.000us       0.000us           280  
                                   aten::_reshape_alias         0.01%     114.953us         0.01%     114.953us       1.150us       0.000us         0.00%       0.000us       0.000us           100  
                                          aten::resize_         0.01%     110.153us         0.01%     110.153us       0.612us       0.000us         0.00%       0.000us       0.000us           180  
                                            aten::randn         0.01%     100.609us         0.03%     493.731us      24.687us       0.000us         0.00%      62.721us       3.136us            20  
                                            aten::chunk         0.01%      93.167us         0.03%     417.619us      20.881us       0.000us         0.00%       0.000us       0.000us            20  
                                     aten::_unsafe_view         0.01%      93.076us         0.01%      93.076us       1.163us       0.000us         0.00%       0.000us       0.000us            80  
                                           Buffer Flush         0.01%      84.355us         0.01%      84.355us      84.355us       4.480us         0.00%       4.480us       4.480us             1  
                                            aten::zeros         0.01%      83.070us         0.03%     471.456us      11.786us       0.000us         0.00%      33.406us       0.835us            40  
                                           aten::conv2d         0.01%      82.524us         0.37%       5.919ms     147.987us       0.000us         0.00%     238.081us       5.952us            40  
                                             aten::item         0.00%      78.708us        45.59%     733.229ms       7.332ms       0.000us         0.00%      45.664us       0.457us           100  
                                                 detach         0.00%      74.411us         0.00%      74.411us       3.721us       0.000us         0.00%       0.000us       0.000us            20  
                                           aten::unfold         0.00%      73.162us         0.01%     120.175us       2.003us       0.000us         0.00%       0.000us       0.000us            60  
                                            aten::zero_         0.00%      72.246us         0.03%     539.679us       8.995us       0.000us         0.00%      54.623us       0.910us            60  
                                       aten::lift_fresh         0.00%      70.110us         0.00%      70.110us       1.753us       0.000us         0.00%       0.000us       0.000us            40  
                                       aten::contiguous         0.00%      67.302us         0.20%       3.164ms      52.737us       0.000us         0.00%      63.933us       1.066us            60  
                                        aten::expand_as         0.00%      50.898us         0.01%     175.039us       4.376us       0.000us         0.00%       0.000us       0.000us            40  
                                 cudaDeviceGetAttribute         0.00%      39.887us         0.00%      39.887us       0.997us       0.000us         0.00%       0.000us       0.000us            40  
                                       aten::zeros_like         0.00%      39.626us         0.02%     313.496us      15.675us       0.000us         0.00%      21.217us       1.061us            20  
                                           aten::detach         0.00%      25.837us         0.01%     100.248us       5.012us       0.000us         0.00%       0.000us       0.000us            20  
                                     aten::resolve_conj         0.00%      15.341us         0.00%      15.341us       0.767us       0.000us         0.00%       0.000us       0.000us            20  
                                      aten::resolve_neg         0.00%       5.449us         0.00%       5.449us       0.272us       0.000us         0.00%       0.000us       0.000us            20  
                                         vj0/vae_encode         0.00%       0.000us         0.00%       0.000us       0.000us     305.979ms        21.96%     305.979ms      15.299ms            20  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.819ms         0.13%       1.819ms      22.732us            80  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     236.480us         0.02%     236.480us       2.956us            80  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us     285.506us         0.02%     285.506us       7.138us            40  
                         triton_poi_fused_convolution_0         0.00%       0.000us         0.00%       0.000us       0.000us      51.264us         0.00%      51.264us       1.282us            40  
void convolve_common_engine_float_NHWC<__nv_bfloat16...         0.00%       0.000us         0.00%       0.000us       0.000us       5.326ms         0.38%       5.326ms     266.277us            20  
       triton_per_fused_convolution_native_group_norm_1         0.00%       0.000us         0.00%       0.000us       0.000us      25.979ms         1.86%      25.979ms     432.981us            60  
       triton_per_fused_convolution_native_group_norm_2         0.00%       0.000us         0.00%       0.000us       0.000us       2.181ms         0.16%       2.181ms       6.414us           340  
       triton_per_fused_convolution_native_group_norm_3         0.00%       0.000us         0.00%       0.000us       0.000us     485.822us         0.03%     485.822us       1.104us           440  
       triton_per_fused_convolution_native_group_norm_4         0.00%       0.000us         0.00%       0.000us       0.000us     699.121us         0.05%     699.121us       1.092us           640  
triton_poi_fused_convolution_native_group_norm_silu_...         0.00%       0.000us         0.00%       0.000us       0.000us       8.348ms         0.60%       8.348ms      46.379us           180  
                    triton_poi_fused_convolution_silu_6         0.00%       0.000us         0.00%       0.000us       0.000us       2.105ms         0.15%       2.105ms       4.576us           460  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.608s
Self CUDA time total: 1.394s
