-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                  cudaStreamSynchronize        46.84%     217.588ms        46.84%     217.588ms       1.088ms       0.000us         0.00%       0.000us       0.000us           200  
                                        cudaMemcpyAsync        18.23%      84.691ms        18.23%      84.691ms     264.659us       0.000us         0.00%       0.000us       0.000us           320  
                                vj0/generate_and_decode        15.73%      73.064ms        91.76%     426.223ms      21.311ms       0.000us         0.00%     310.420ms      15.521ms            20  
                                        cudaGraphLaunch         3.08%      14.323ms         3.10%      14.385ms     239.744us       0.000us         0.00%      10.235ms     170.585us            60  
                             Torch-Compiled Region: 1/0         2.38%      11.056ms         4.70%      21.847ms       1.092ms       0.000us         0.00%     215.203ms      10.760ms            20  
                               TorchDynamo Cache Lookup         2.13%       9.883ms         2.13%       9.883ms     164.714us       0.000us         0.00%       0.000us       0.000us            60  
                                 vj0/output_jpeg_encode         1.37%       6.359ms         1.37%       6.359ms     317.968us       0.000us         0.00%       0.000us       0.000us            20  
                                            aten::copy_         1.34%       6.218ms        26.56%     123.391ms     220.341us       1.601ms         0.45%       2.010ms       3.589us           560  
                                         vj0/vae_encode         1.31%       6.090ms         5.42%      25.166ms       1.258ms       0.000us         0.00%      62.988ms       3.149ms            20  
                                  vj0/input_jpeg_decode         1.20%       5.590ms         1.20%       5.590ms     279.478us       0.000us         0.00%       0.000us       0.000us            20  
                                       cudaLaunchKernel         0.80%       3.727ms         0.80%       3.727ms       3.328us       0.000us         0.00%       0.000us       0.000us          1120  
                             Torch-Compiled Region: 0/0         0.44%       2.032ms         1.47%       6.841ms     342.067us       0.000us         0.00%      62.243ms       3.112ms            20  
                                aten::cudnn_convolution         0.39%       1.791ms         0.43%       1.974ms      49.362us      89.887us         0.03%      89.887us       2.247us            40  
                             Torch-Compiled Region: 2/0         0.37%       1.721ms         1.39%       6.434ms     321.720us       0.000us         0.00%      82.684ms       4.134ms            20  
## Call CompiledFxGraph fvswsji56imt5qppflin5iudfvao...         0.28%       1.301ms         2.19%      10.192ms     509.605us     204.865ms        58.05%     215.203ms      10.760ms            20  
## Call CompiledFxGraph fvinx7wfgmefpva6udlfuhcbpqzk...         0.26%       1.216ms         0.96%       4.438ms     221.908us      62.098ms        17.60%      62.243ms       3.112ms            20  
## Call CompiledFxGraph f7ajbwvnaws7dabxtmf7nopklkeb...         0.21%     968.641us         0.95%       4.427ms     221.354us      82.552ms        23.39%      82.684ms       4.134ms            20  
                                              aten::mul         0.21%     964.288us         0.35%       1.617ms       8.085us     358.267us         0.10%     358.267us       1.791us           200  
