-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                vj0/generate_and_decode         0.00%       0.000us         0.00%       0.000us       0.000us     343.691ms        97.39%     343.691ms      17.185ms            20  
                                        vj0/transformer         0.00%       0.000us         0.00%       0.000us       0.000us     209.064ms        59.24%     209.064ms      10.453ms            20  
## Call CompiledFxGraph fvswsji56imt5qppflin5iudfvao...         0.28%       1.301ms         2.19%      10.192ms     509.605us     204.865ms        58.05%     215.203ms      10.760ms            20  
                                        vj0/vae_decoder         0.00%       0.000us         0.00%       0.000us       0.000us      86.461ms        24.50%      86.461ms       4.323ms            20  
## Call CompiledFxGraph f7ajbwvnaws7dabxtmf7nopklkeb...         0.21%     968.641us         0.95%       4.427ms     221.354us      82.552ms        23.39%      82.684ms       4.134ms            20  
                                         vj0/vae_encode         0.00%       0.000us         0.00%       0.000us       0.000us      72.045ms        20.41%      72.045ms       3.602ms            20  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_bf16...         0.00%       0.000us         0.00%       0.000us       0.000us      63.549ms        18.01%      63.549ms     105.915us           600  
## Call CompiledFxGraph fvinx7wfgmefpva6udlfuhcbpqzk...         0.26%       1.216ms         0.96%       4.438ms     221.908us      62.098ms        17.60%      62.243ms       3.112ms            20  
sm89_xmma_gemm_e4m3bf16_e4m3f32_f32_tn_n_tilesize128...         0.00%       0.000us         0.00%       0.000us       0.000us      61.641ms        17.47%      61.641ms     154.103us           400  
sm89_xmma_gemm_e4m3bf16_e4m3f32_f32_tn_n_tilesize128...         0.00%       0.000us         0.00%       0.000us       0.000us      37.405ms        10.60%      37.405ms      93.512us           400  
sm89_xmma_gemm_e4m3bf16_e4m3f32_f32_tn_n_tilesize64x...         0.00%       0.000us         0.00%       0.000us       0.000us      27.471ms         7.78%      27.471ms      30.524us           900  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_bf16...         0.00%       0.000us         0.00%       0.000us       0.000us      18.308ms         5.19%      18.308ms     130.770us           140  
sm89_xmma_gemm_e4m3bf16_e4m3f32_f32_tn_n_tilesize64x...         0.00%       0.000us         0.00%       0.000us       0.000us      16.035ms         4.54%      16.035ms      57.269us           280  
void pytorch_flash::flash_fwd_splitkv_kernel<Flash_f...         0.00%       0.000us         0.00%       0.000us       0.000us      15.479ms         4.39%      15.479ms      30.959us           500  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_bf16...         0.00%       0.000us         0.00%       0.000us       0.000us      11.468ms         3.25%      11.468ms      31.855us           360  
                                Activity Buffer Request         0.03%     121.290us         0.03%     121.290us      60.645us      10.252ms         2.90%      10.252ms       5.126ms             2  
