-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             vj0/output_tensor_to_numpy         0.00%       0.000us         0.00%       0.000us       0.000us       3.918ms         0.28%       3.918ms     195.903us            20  
triton_poi_fused__to_copy__unsafe_index_add_arange_c...         0.00%       0.000us         0.00%       0.000us       0.000us       3.819ms         0.27%       3.819ms     190.927us            20  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       3.757ms         0.27%       3.757ms     187.839us            20  
triton_poi_fused_add_constant_pad_nd_convolution_div...         0.00%       0.000us         0.00%       0.000us       0.000us       3.718ms         0.27%       3.718ms     185.913us            20  
triton_per_fused__to_copy_clone_convolution_native_g...         0.00%       0.000us         0.00%       0.000us       0.000us       3.661ms         0.26%       3.661ms      45.766us            80  
triton_poi_fused_add_clone_convolution_div_native_gr...         0.00%       0.000us         0.00%       0.000us       0.000us       3.532ms         0.25%       3.532ms     176.614us            20  
triton_poi_fused_add_clone_convolution_div_native_gr...         0.00%       0.000us         0.00%       0.000us       0.000us       3.522ms         0.25%       3.522ms     176.108us            20  
            triton_per_fused_clone_native_group_norm_33         0.00%       0.000us         0.00%       0.000us       0.000us       3.496ms         0.25%       3.496ms     174.799us            20  
triton_per_fused_convolution_native_group_norm_silu_...         0.00%       0.000us         0.00%       0.000us       0.000us       3.331ms         0.24%       3.331ms      83.264us            40  
triton_per_fused_convolution_native_group_norm_silu_...         0.00%       0.000us         0.00%       0.000us       0.000us       3.265ms         0.23%       3.265ms      81.634us            40  
triton_per_fused_add_convolution_div_native_group_no...         0.00%       0.000us         0.00%       0.000us       0.000us       3.223ms         0.23%       3.223ms     161.174us            20  
sm80_xmma_fprop_implicit_gemm_indexed_bf16bf16_bf16f...         0.00%       0.000us         0.00%       0.000us       0.000us       3.193ms         0.23%       3.193ms     159.657us            20  
triton_red_fused_add_mm_mul_native_layer_norm_split_...         0.00%       0.000us         0.00%       0.000us       0.000us       3.135ms         0.22%       3.135ms      26.124us           120  
triton_poi_fused__scaled_mm__to_copy_clamp_div_t_vie...         0.00%       0.000us         0.00%       0.000us       0.000us       3.108ms         0.22%       3.108ms       7.770us           400  
triton_per_fused_convolution_native_group_norm_silu_...         0.00%       0.000us         0.00%       0.000us       0.000us       3.099ms         0.22%       3.099ms      51.656us            60  
                           triton_red_fused_mm_silu_t_3         0.00%       0.000us         0.00%       0.000us       0.000us       2.982ms         0.21%       2.982ms     149.121us            20  
triton_red_fused_add_mm_mul_native_layer_norm_split_...         0.00%       0.000us         0.00%       0.000us       0.000us       2.662ms         0.19%       2.662ms      19.012us           140  
triton_poi_fused__scaled_mm__to_copy_clamp_div_mul_s...         0.00%       0.000us         0.00%       0.000us       0.000us       2.571ms         0.18%       2.571ms      25.711us           100  
triton_poi_fused_convolution_native_group_norm_silu_...         0.00%       0.000us         0.00%       0.000us       0.000us       2.535ms         0.18%       2.535ms      63.371us            40  
triton_red_fused__unsafe_view_add_mm_mul_native_laye...         0.00%       0.000us         0.00%       0.000us       0.000us       2.511ms         0.18%       2.511ms      31.387us            80  
triton_per_fused_add_clone_convolution_div_native_gr...         0.00%       0.000us         0.00%       0.000us       0.000us       2.348ms         0.17%       2.348ms     117.406us            20  
            triton_per_fused_clone_native_group_norm_57         0.00%       0.000us         0.00%       0.000us       0.000us       2.311ms         0.17%       2.311ms     115.574us            20  
triton_red_fused__unsafe_view_add_mm_mul_native_laye...         0.00%       0.000us         0.00%       0.000us       0.000us       2.263ms         0.16%       2.263ms      22.634us           100  
           triton_poi_fused_add_convolution_div_silu_42         0.00%       0.000us         0.00%       0.000us       0.000us       2.250ms         0.16%       2.250ms     112.497us            20  
triton_poi_fused_convolution_native_group_norm_silu_...         0.00%       0.000us         0.00%       0.000us       0.000us       2.242ms         0.16%       2.242ms      37.369us            60  
       triton_per_fused_convolution_native_group_norm_2         0.00%       0.000us         0.00%       0.000us       0.000us       2.181ms         0.16%       2.181ms       6.414us           340  
triton_per_fused_add_constant_pad_nd_convolution_div...         0.00%       0.000us         0.00%       0.000us       0.000us       2.124ms         0.15%       2.124ms      21.240us           100  
                    triton_poi_fused_convolution_silu_6         0.00%       0.000us         0.00%       0.000us       0.000us       2.105ms         0.15%       2.105ms       4.576us           460  
