trial,boundary,frames,seconds,fps,p50_age_ms,p95_age_ms,p99_age_ms,max_age_ms,max_gap_ms,final_silence_ms,percent_over_250ms,percent_over_500ms,percent_over_1000ms
compute-capture-768-three-minute-soak,main/preview-image-raf,3807,180.3132998046875,21.11325123617438,210.5,767.4600097656248,2618.0700976562503,3536.800048828125,564.0,64.699951171875,10.95350669818755,7.486209613869188,2.6530076175466246
compute-capture-768-three-minute-soak,main/received,3822,180.3132998046875,21.196439775324006,189.10009765625,756.9799926757812,2624.6720874023435,3526.800048828125,579.39990234375,1.0,9.863945578231293,7.456828885400314,2.642595499738357
compute-capture-768-three-minute-soak,main/sent,8519,180.3132998046875,47.245544334376035,,,,,1393.800048828125,0.0,,,
compute-capture-768-three-minute-soak,stage/webgl-frame-submitted,3821,180.3132998046875,21.19089387271403,193.199951171875,760.800048828125,2627.2602539062505,3529.300048828125,575.199951171875,76.89990234375,9.918869405914682,7.511122742737503,2.6432870976184244
latest-input-768-three-minute-soak,main/preview-image-raf,3802,180.31199975585938,21.085673749655427,132.699951171875,167.09486083984373,594.555903320305,2231.199951171875,508.300048828125,0.39990234375,1.157285639137296,1.0520778537611783,0.8679642293529721
latest-input-768-three-minute-soak,main/received,3810,180.31199975585938,21.13004129042272,110.400146484375,143.5,604.2319067382762,2227.099853515625,513.599853515625,17.39990234375,1.1811023622047243,1.0761154855643045,0.8923884514435696
latest-input-768-three-minute-soak,main/sent,8776,180.31199975585938,48.6711922217191,,,,,1177.699951171875,29.699951171875,,,
latest-input-768-three-minute-soak,stage/webgl-frame-submitted,3810,180.31199975585938,21.13004129042272,114.0,147.300048828125,606.7859155273387,2230.5,517.199951171875,15.699951171875,1.1811023622047243,1.0761154855643045,0.8923884514435696
