artifact,artifact_sha256,status,error,width,height,steps,input_quality,output_quality,mode,variant,active_workers,pending_per_worker,received_fps,drawn_fps,elapsed_seconds,capture_to_draw_p50_ms,capture_to_draw_p95_ms,capture_to_draw_p99_ms,worker_queue_p95_ms,worker_total_p95_ms,input_mbps,output_mbps,received_frames,drawn_frames,decode_skips,encode_skips,input_buffer_skips,output_buffer_drops,measurement,frame_age,config_json,counts_json,server_counters_json,transport_json,observed_variants_json,measurement_status,continuity_status,validation_status,assessment_json
baseline-webrtc-512x288-2step-single-telemetry-off.json,9cd1daeb7475d5fb44c79bb87d471d2b3db7134077bd06906c0265a2854775a2,measured,,512,288,2,0.85,,single,,,,6.1662144776196754,6.1662144776196754,30.002199999928475,150.5,200.88000006675716,298.48000000476827,,51.264,0.4896848897759172,2.0529646492639486,185,185,0,2,0,,browser receive/decode/offscreen 2D draw; excludes application upscaler/projector and audio capture,one request in flight; measured on client clock,"{""alpha"":0.1,""height"":288,""inputQuality"":0.85,""maxBufferedBytes"":262144,""mode"":""single"",""outputQuality"":null,""prompt"":""colorful abstract art, vibrant neon lights, psychedelic patterns"",""seconds"":30,""seed"":42,""sendFps"":60,""server"":""https://0pxb4bss2jmbhg-3000.proxy.runpod.net"",""steps"":2,""telemetryEveryMs"":0,""warmupFrames"":20,""width"":512}","{""bytesReceived"":7699182,""bytesSent"":1836453,""compileDuringMeasurement"":false,""decodeErrors"":0,""decodeSkips"":0,""decodedDrawn"":185,""encodeSkips"":2,""errors"":[],""maxBufferedBytes"":0,""received"":185,""sendBufferSkips"":0,""sendErrors"":0,""sent"":185,""telemetryErrors"":0}",{},"[{""currentRoundTripTime"":0.019,""localCandidate"":""srflx"",""remoteCandidate"":""srflx""}]",null,measured,,,{}
baseline-webrtc-512x288-2step-stream-telemetry-off.json,59135b9f445cef8be1aad9f8e2206bc118d71221467ec19a9150122f1787d79d,measured,,512,288,2,0.85,,stream,,,,27.429493204295632,24.42991314550267,30.00419999998808,,,,,41.044,4.940574186282551,9.134281733894218,823,733,90,9,0,,browser receive/decode/offscreen 2D draw; excludes application upscaler/projector and audio capture,unknown: baseline does not echo frame IDs,"{""alpha"":0.1,""height"":288,""inputQuality"":0.85,""maxBufferedBytes"":262144,""mode"":""stream"",""outputQuality"":null,""prompt"":""colorful abstract art, vibrant neon lights, psychedelic patterns"",""seconds"":30,""seed"":42,""sendFps"":60,""server"":""https://0pxb4bss2jmbhg-3000.proxy.runpod.net"",""steps"":2,""telemetryEveryMs"":0,""warmupFrames"":20,""width"":512}","{""bytesReceived"":34258352,""bytesSent"":18529747,""compileDuringMeasurement"":false,""decodeErrors"":0,""decodeSkips"":90,""decodedDrawn"":733,""encodeSkips"":9,""errors"":[],""maxBufferedBytes"":69956,""received"":823,""sendBufferSkips"":0,""sendErrors"":0,""sent"":1865,""telemetryErrors"":0}",{},"[{""currentRoundTripTime"":0.021,""localCandidate"":""srflx"",""remoteCandidate"":""srflx""}]",null,measured,,,{}
baseline-webrtc-512x288-2step-stream-telemetry-on.json,e47e270b9ffd155e1c38b9bbcdb68ee3dcba5a40e06de8b6427225d19e9ba664,measured,,512,288,2,0.85,,stream,,,,25.59752557254833,22.69780587878309,30.00289999997616,,,,,55.75149999999999,4.938094917495233,8.531341703642095,768,681,87,10,0,,browser receive/decode/offscreen 2D draw; excludes application upscaler/projector and audio capture,unknown: baseline does not echo frame IDs,"{""alpha"":0.1,""height"":288,""inputQuality"":0.85,""maxBufferedBytes"":262144,""mode"":""stream"",""outputQuality"":null,""prompt"":""colorful abstract art, vibrant neon lights, psychedelic patterns"",""seconds"":30,""seed"":42,""sendFps"":60,""server"":""https://0pxb4bss2jmbhg-3000.proxy.runpod.net"",""steps"":2,""telemetryEveryMs"":2000,""warmupFrames"":20,""width"":512}","{""bytesReceived"":31995624,""bytesSent"":18519646,""compileDuringMeasurement"":false,""decodeErrors"":0,""decodeSkips"":87,""decodedDrawn"":681,""encodeSkips"":10,""errors"":[],""maxBufferedBytes"":108164,""received"":768,""sendBufferSkips"":0,""sendErrors"":0,""sent"":1864,""telemetryErrors"":0}",{},"[{""currentRoundTripTime"":0.019,""localCandidate"":""srflx"",""remoteCandidate"":""srflx""}]",null,measured,,,{}
browser-discovery/async-telemetry-r0.json,67b28742deb9c3c2e08ab587297048ce7a992d19aaf07798ff910d8a6bcb4566,measured,,512,288,2,0.85,80,stream,,,,26.794908967360087,23.82880586027669,30.00569999992847,168,320.52999998330904,1173.8459999966622,,51.78449999999993,4.869792339467112,8.920252618690382,804,715,89,34,0,,browser receive/decode/offscreen 2D draw; excludes application upscaler/projector and audio capture,correlated by echoed frame ID; measured on client clock,"{""alpha"":0.1,""channelOptions"":{},""frameIds"":true,""height"":288,""inputQuality"":0.85,""maxBufferedBytes"":262144,""mode"":""stream"",""outputQuality"":80,""prompt"":""colorful abstract art, vibrant neon lights, psychedelic patterns"",""seconds"":30,""seed"":42,""sendFps"":60,""server"":""https://0pxb4bss2jmbhg-3001.proxy.runpod.net"",""steps"":2,""telemetryEveryMs"":2000,""warmupFrames"":20,""width"":512}","{""bytesReceived"":33457303,""bytesSent"":18265191,""compileDuringMeasurement"":false,""decodeErrors"":0,""decodeSkips"":89,""decodedDrawn"":715,""encodeSkips"":34,""errors"":[],""maxBufferedBytes"":206401,""received"":804,""sendBufferSkips"":0,""sendErrors"":0,""sent"":1837,""telemetryErrors"":0}",{},"[{""currentRoundTripTime"":0.02,""localCandidate"":""srflx"",""remoteCandidate"":""srflx""}]",null,measured,,,{}
browser-discovery/async-telemetry-r1.json,d3dcaf705c3df7fa1749d61d8ae2cdafc0ed053407c4f756bb611fbcf6f6bf5d,measured,,512,288,2,0.85,80,stream,,,,26.026046040462685,22.560349768749344,30.00839999997616,178.5,806.5199999809265,903.0359999227524,,57.8,4.874568187578019,8.670321909872126,781,677,104,33,0,,browser receive/decode/offscreen 2D draw; excludes application upscaler/projector and audio capture,correlated by echoed frame ID; measured on client clock,"{""alpha"":0.1,""channelOptions"":{},""frameIds"":true,""height"":288,""inputQuality"":0.85,""maxBufferedBytes"":262144,""mode"":""stream"",""outputQuality"":80,""prompt"":""colorful abstract art, vibrant neon lights, psychedelic patterns"",""seconds"":30,""seed"":42,""sendFps"":60,""server"":""https://0pxb4bss2jmbhg-3001.proxy.runpod.net"",""steps"":2,""telemetryEveryMs"":2000,""warmupFrames"":20,""width"":512}","{""bytesReceived"":32522811,""bytesSent"":18284749,""compileDuringMeasurement"":false,""decodeErrors"":0,""decodeSkips"":104,""decodedDrawn"":677,""encodeSkips"":33,""errors"":[],""maxBufferedBytes"":190092,""received"":781,""sendBufferSkips"":0,""sendErrors"":0,""sent"":1839,""telemetryErrors"":0}",{},"[{""currentRoundTripTime"":0.02,""localCandidate"":""srflx"",""remoteCandidate"":""srflx""}]",null,measured,,,{}
browser-discovery/async-telemetry-r2.json,eca8930206abfffcd04db4477dabda52b6e00959a8f8dab94288c8156ee6dbc5,measured,,512,288,2,0.85,80,stream,,,,27.898419089651437,24.731931857253723,30.001699999928473,165.64999997615814,213.6900000452995,236.86300002813357,,39.87799999999999,4.778101774244185,9.293322178432046,837,742,94,71,0,,browser receive/decode/offscreen 2D draw; excludes application upscaler/projector and audio capture,correlated by echoed frame ID; measured on client clock,"{""alpha"":0.1,""channelOptions"":{},""frameIds"":true,""height"":288,""inputQuality"":0.85,""maxBufferedBytes"":262144,""mode"":""stream"",""outputQuality"":80,""prompt"":""colorful abstract art, vibrant neon lights, psychedelic patterns"",""seconds"":30,""seed"":42,""sendFps"":60,""server"":""https://0pxb4bss2jmbhg-3001.proxy.runpod.net"",""steps"":2,""telemetryEveryMs"":2000,""warmupFrames"":20,""width"":512}","{""bytesReceived"":34851933,""bytesSent"":17918897,""compileDuringMeasurement"":false,""decodeErrors"":0,""decodeSkips"":94,""decodedDrawn"":742,""encodeSkips"":71,""errors"":[],""maxBufferedBytes"":20435,""received"":837,""sendBufferSkips"":0,""sendErrors"":0,""sent"":1802,""telemetryErrors"":0}",{},"[{""currentRoundTripTime"":0.019,""localCandidate"":""srflx"",""remoteCandidate"":""srflx""}]",null,measured,,,{}
browser-discovery/ids-single-raw-r0.json,5db4547f9181b5d5439733dbc59b9dbb11914877d5f60f1ca59a52805590b591,measured,,512,288,2,0.85,80,single,,,,6.499631687553202,6.499631687553202,30.001699999928473,148.79999995231628,158.08999998569487,164.90600008964535,,42.273,0.5186583426951505,2.1602618518335466,195,195,0,2,0,,browser receive/decode/offscreen 2D draw; excludes application upscaler/projector and audio capture,one request in flight; measured on client clock,"{""alpha"":0.1,""channelOptions"":{},""frameIds"":false,""height"":288,""inputQuality"":0.85,""maxBufferedBytes"":262144,""mode"":""single"",""outputQuality"":80,""prompt"":""colorful abstract art, vibrant neon lights, psychedelic patterns"",""seconds"":30,""seed"":42,""sendFps"":60,""server"":""https://0pxb4bss2jmbhg-3001.proxy.runpod.net"",""steps"":2,""telemetryEveryMs"":0,""warmupFrames"":20,""width"":512}","{""bytesReceived"":8101441,""bytesSent"":1945079,""compileDuringMeasurement"":false,""decodeErrors"":0,""decodeSkips"":0,""decodedDrawn"":195,""encodeSkips"":2,""errors"":[],""maxBufferedBytes"":0,""received"":195,""sendBufferSkips"":0,""sendErrors"":0,""sent"":196,""telemetryErrors"":0}",{},"[{""currentRoundTripTime"":0.018,""localCandidate"":""srflx"",""remoteCandidate"":""srflx""}]",null,measured,,,{}
browser-discovery/ids-single-raw-r1.json,813ce309df108ca73d92cb5a86599f5aaeb09b80cb2a887a36be396eb8d42b18,measured,,512,288,2,0.85,80,single,,,,6.1330675670818415,6.1330675670818415,30.001299999952316,156.39999997615814,170.16999993920325,183.6039999878404,,42.95249999999999,0.48969957968565864,2.0395910843895853,184,184,0,3,0,,browser receive/decode/offscreen 2D draw; excludes application upscaler/projector and audio capture,one request in flight; measured on client clock,"{""alpha"":0.1,""channelOptions"":{},""frameIds"":false,""height"":288,""inputQuality"":0.85,""maxBufferedBytes"":262144,""mode"":""single"",""outputQuality"":80,""prompt"":""colorful abstract art, vibrant neon lights, psychedelic patterns"",""seconds"":30,""seed"":42,""sendFps"":60,""server"":""https://0pxb4bss2jmbhg-3001.proxy.runpod.net"",""steps"":2,""telemetryEveryMs"":0,""warmupFrames"":20,""width"":512}","{""bytesReceived"":7648798,""bytesSent"":1836453,""compileDuringMeasurement"":false,""decodeErrors"":0,""decodeSkips"":0,""decodedDrawn"":184,""encodeSkips"":3,""errors"":[],""maxBufferedBytes"":0,""received"":184,""sendBufferSkips"":0,""sendErrors"":0,""sent"":185,""telemetryErrors"":0}",{},"[{""currentRoundTripTime"":0.02,""localCandidate"":""srflx"",""remoteCandidate"":""srflx""}]",null,measured,,,{}
browser-discovery/ids-single-raw-r2.json,e8083c2d395091dc2381ec2eeb960465ec68bcab5b57b900efd13d1a7502c24a,measured,,512,288,2,0.85,80,single,,,,6.199690015499225,6.199690015499225,30.0015,152.79999995231628,167.12500005960464,175.44000003337862,,41.9725,0.49496298518407417,2.06103881472593,186,186,0,3,0,,browser receive/decode/offscreen 2D draw; excludes application upscaler/projector and audio capture,one request in flight; measured on client clock,"{""alpha"":0.1,""channelOptions"":{},""frameIds"":false,""height"":288,""inputQuality"":0.85,""maxBufferedBytes"":262144,""mode"":""single"",""outputQuality"":80,""prompt"":""colorful abstract art, vibrant neon lights, psychedelic patterns"",""seconds"":30,""seed"":42,""sendFps"":60,""server"":""https://0pxb4bss2jmbhg-3001.proxy.runpod.net"",""steps"":2,""telemetryEveryMs"":0,""warmupFrames"":20,""width"":512}","{""bytesReceived"":7729282,""bytesSent"":1856204,""compileDuringMeasurement"":false,""decodeErrors"":0,""decodeSkips"":0,""decodedDrawn"":186,""encodeSkips"":3,""errors"":[],""maxBufferedBytes"":0,""received"":186,""sendBufferSkips"":0,""sendErrors"":0,""sent"":187,""telemetryErrors"":0}",{},"[{""currentRoundTripTime"":0.019,""localCandidate"":""srflx"",""remoteCandidate"":""srflx""}]",null,measured,,,{}
browser-discovery/ids-single-tagged-r0.json,dbb8c72275e12e993f4fbbc1b8d05c0f30b941e106b8ae2c9d44b5f6f72fb786,measured,,512,288,2,0.85,80,single,,,,6.232980131140763,6.232980131140763,30.001699999928473,152.90000009536743,163.3299999475479,166.8440000510215,,43.661,0.4979733815095685,2.072506024663544,187,187,0,4,0,,browser receive/decode/offscreen 2D draw; excludes application upscaler/projector and audio capture,correlated by echoed frame ID; measured on client clock,"{""alpha"":0.1,""channelOptions"":{},""frameIds"":true,""height"":288,""inputQuality"":0.85,""maxBufferedBytes"":262144,""mode"":""single"",""outputQuality"":80,""prompt"":""colorful abstract art, vibrant neon lights, psychedelic patterns"",""seconds"":30,""seed"":42,""sendFps"":60,""server"":""https://0pxb4bss2jmbhg-3001.proxy.runpod.net"",""steps"":2,""telemetryEveryMs"":0,""warmupFrames"":20,""width"":512}","{""bytesReceived"":7772338,""bytesSent"":1867506,""compileDuringMeasurement"":false,""decodeErrors"":0,""decodeSkips"":0,""decodedDrawn"":187,""encodeSkips"":4,""errors"":[],""maxBufferedBytes"":0,""received"":187,""sendBufferSkips"":0,""sendErrors"":0,""sent"":188,""telemetryErrors"":0}",{},"[{""currentRoundTripTime"":0.019,""localCandidate"":""srflx"",""remoteCandidate"":""srflx""}]",null,measured,,,{}
