trial,width,arm,repeat,boundary,audit_status,raw_status,seconds,frames,fps,age_p50_ms,age_p95_ms,age_p99_ms,age_max_ms,max_event_gap_ms,final_silence_ms,frames_over_250ms,percent_over_250ms,frames_over_500ms,percent_over_500ms,frames_over_1000ms,percent_over_1000ms
before-512-r0,512,before,0,main/sent,passed,measured,60.240400146484376,2032,33.731515644963515,,,,,83.0,3.300048828125,0,,0,,0,
before-512-r1,512,before,1,main/sent,passed,measured,60.24800024414063,2154,35.75222399534307,,,,,63.199951171875,10.199951171875,0,,0,,0,
before-512-r0,512,before,0,main/received,passed,measured,60.240400146484376,1597,26.510448073330082,134.5,1021.1201171875001,1839.819951171875,1963.300048828125,1459.099853515625,1.5,224,14.026299311208517,117,7.326236693800877,87,5.447714464621165
before-512-r1,512,before,1,main/received,passed,measured,60.24800024414063,1641,27.237418559126272,136.5,172.0,187.78012695312498,219.900146484375,91.0,15.699951171875,0,0.0,0,0.0,0,0.0
before-512-r0,512,before,0,main/preview-image-raf,passed,measured,60.240400146484376,1498,24.867032694958336,149.800048828125,863.1499023437514,1717.3020458984365,1949.800048828125,1465.5,42.699951171875,188,12.550066755674232,94,6.275033377837116,66,4.405874499332444
before-512-r1,512,before,1,main/preview-image-raf,passed,measured,60.24800024414063,1631,27.07143794633452,150.10009765625,186.0,200.2700927734375,234,106.400146484375,52.60009765625,0,0.0,0,0.0,0,0.0
before-512-r0,512,before,0,stage/webgl-frame-submitted,passed,measured,60.240400146484376,1593,26.44404745198173,140.7998046875,1025.039794921875,1844.131845703125,1969.699951171875,1463.199951171875,45.10009765625,222,13.935969868173258,115,7.219083490269931,86,5.398618957940992
before-512-r1,512,before,1,stage/webgl-frame-submitted,passed,measured,60.24800024414063,1641,27.237418559126272,141.099853515625,177.0,192.05991210937498,227.89990234375,92.900146484375,10.30029296875,0,0.0,0,0.0,0,0.0
compute-capture-512-r0,512,compute-capture,0,main/sent,passed,measured,60.28990014648438,3185,52.8280855045623,,,,,85.099853515625,8.800048828125,0,,0,,0,
compute-capture-512-r1,512,compute-capture,1,main/sent,passed,measured,60.276,2956,49.04107770920432,,,,,60.7001953125,1.0,0,,0,,0,
