name,status,raw_status,valid_for_descriptive,cohort_root,source_summary,width,height,active_workers,variant,input_fps,stage_frames,stage_fps,p50_age_ms,p95_age_ms,p99_age_ms,max_age_ms,over_250_percent,over_500_percent,over_1000_percent,max_gap_ms,worker_ids,impulse_coverage_complete,errors
n06-1024-workers2-terminal-noop-r0,passed,measured,True,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01/n06-1024-workers2-terminal-noop-r0/summary.json,1024,576,2,terminal-noop,43.89844726107544,1425,23.605768810200946,162.400146484375,211.200146484375,329.7880859375,486.10009765625,2.736842105263158,0.0,0.0,294.199951171875,"[0, 1]",True,
n06-512-workers2-terminal-noop-r1,passed,measured,True,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01/n06-512-workers2-terminal-noop-r1/summary.json,512,288,2,terminal-noop,46.29391910703435,2771,45.89640423813674,67.199951171875,95.550048828125,111.25009765625009,357.500244140625,0.14435221941537352,0.0,0.0,188.800048828125,"[0, 1]",True,
n06-512-workers2-baseline-r1,passed,measured,True,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01/n06-512-workers2-baseline-r1/summary.json,512,288,2,baseline,52.11110416167669,2914,48.25286225838128,79.4501953125,115.64029541015621,141.02211669921869,205.500244140625,0.0,0.0,0.0,98.5,"[0, 1]",True,
n06-512-workers1-terminal-noop-r1,passed,measured,True,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01/n06-512-workers1-terminal-noop-r1/summary.json,512,288,1,terminal-noop,47.772519341039796,2355,38.98277305895659,85.800048828125,263.0198730468751,411.437939453125,610.999755859375,5.435244161358811,0.5944798301486199,0.0,459.900146484375,[0],True,
n06-512-workers1-baseline-r1,passed,measured,True,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01/n06-512-workers1-baseline-r1/summary.json,512,288,1,baseline,43.17916539044197,1715,28.39427478704294,101.599853515625,130.5299560546875,148.23001464843745,279.800048828125,0.05830903790087463,0.0,0.0,205.5,[0],True,
n06-768-workers2-terminal-noop-r1,passed,measured,True,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01/n06-768-workers2-terminal-noop-r1/summary.json,768,448,2,terminal-noop,39.267102506164136,2146,35.52580184579605,122.10009765625,1189.250244140625,1363.575048828125,1408.7001953125,16.868592730661696,15.37744641192917,11.975768872320597,141.0,"[0, 1]",True,
n06-768-workers2-baseline-r1,passed,measured,True,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01/n06-768-workers2-baseline-r1/summary.json,768,448,2,baseline,43.69314749225003,1730,28.653959500224623,142.5999755859375,175.05491943359374,195.99696533203127,360.60009765625,0.23121387283236994,0.0,0.0,204.39990234375,"[0, 1]",True,
n06-768-workers1-terminal-noop-r1,passed,measured,True,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01/n06-768-workers1-terminal-noop-r1/summary.json,768,448,1,terminal-noop,47.870992134587325,1348,22.336482311327003,114.2501220703125,154.01003417968764,175.75311767578125,242.10009765625,0.0,0.0,0.0,117.800048828125,[0],True,
n06-768-workers1-baseline-r1,passed,measured,True,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01/n06-768-workers1-baseline-r1/summary.json,768,448,1,baseline,52.920744937515146,918,15.205397136976183,139.400146484375,163.60009765625,191.17101562500014,226.599853515625,0.0,0.0,0.0,103.699951171875,[0],True,
n06-1024-workers2-terminal-noop-r1,passed,measured,True,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01/n06-1024-workers2-terminal-noop-r1/summary.json,1024,576,2,terminal-noop,44.58132315323575,1469,24.336664330027247,163.5,195.95981445312498,214.91985351562494,395.69970703125,0.27229407760381213,0.0,0.0,212.699951171875,"[0, 1]",True,
n06-1024-workers2-baseline-r1,passed,measured,True,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01/n06-1024-workers2-baseline-r1/summary.json,1024,576,2,baseline,43.28452585838267,1038,17.181391143786314,199.300048828125,241.51497802734374,276.1011157226566,377.2998046875,2.3121387283236996,0.0,0.0,229.10009765625,"[0, 1]",True,
n06-1024-workers1-terminal-noop-r1,passed,measured,True,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01/n06-1024-workers1-terminal-noop-r1/summary.json,1024,576,1,terminal-noop,52.44740785673817,754,12.486689461313727,159.60009765625,187.00512695312506,208.5820947265625,303.10009765625,0.13262599469496023,0.0,0.0,144.599853515625,[0],True,
n06-1024-workers1-baseline-r1,passed,measured,True,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01/n06-1024-workers1-baseline-r1/summary.json,1024,576,1,baseline,55.06456524742605,524,8.68045493070134,180.500244140625,218.055126953125,241.45119140624988,265.500244140625,0.3816793893129771,0.0,0.0,148.400146484375,[0],True,
n06-512-workers1-baseline-r2,passed,measured,True,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01/n06-512-workers1-baseline-r2/summary.json,512,288,1,baseline,51.88497170457628,1731,28.67588953404264,96.60009765625,125.2501220703125,144.8399169921875,210.199951171875,0.0,0.0,0.0,112.39990234375,[0],True,
n06-512-workers1-terminal-noop-r2,passed,measured,True,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01/n06-512-workers1-terminal-noop-r2/summary.json,512,288,1,terminal-noop,45.469227520063605,2394,39.65512957487515,83.39990234375,109.0,125.09987060546875,183.099853515625,0.0,0.0,0.0,97.400146484375,[0],True,
n06-512-workers2-baseline-r2,passed,measured,True,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01/n06-512-workers2-baseline-r2/summary.json,512,288,2,baseline,40.57936473134517,2349,38.87476662068916,95.89990234375,131.1,159.59998046875,260.89990234375,0.04257130693912303,0.0,0.0,146.599853515625,"[0, 1]",True,
n06-512-workers2-terminal-noop-r2,passed,measured,True,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01/n06-512-workers2-terminal-noop-r2/summary.json,512,288,2,terminal-noop,41.898446708791795,2513,41.616915643950115,76.2998046875,106.7998046875,132.7037988281251,239.19970703125,0.0,0.0,0.0,127.099853515625,"[0, 1]",True,
n06-768-workers1-baseline-r2,passed,measured,True,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01/n06-768-workers1-baseline-r2/summary.json,768,448,1,baseline,51.25885739486874,919,15.225239155101606,139.60009765625,165.7199462890625,197.39222656250004,259.7001953125,0.1088139281828074,0.0,0.0,164.599853515625,[0],True,
n06-768-workers1-terminal-noop-r2,passed,measured,True,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01/n06-768-workers1-terminal-noop-r2/summary.json,768,448,1,terminal-noop,50.661296441410634,1354,22.4241240214678,111.9000244140625,146.93509521484373,177.33496826171876,299.900146484375,0.22156573116691286,0.0,0.0,169.60009765625,[0],True,
n06-768-workers2-baseline-r2,passed,measured,True,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01/n06-768-workers2-baseline-r2/summary.json,768,448,2,baseline,45.612036160185376,1646,27.261224226457927,144.400146484375,283.9251708984375,1205.5251464843736,2580.400146484375,6.804374240583232,2.7339003645200486,1.701093560145808,1840.89990234375,"[0, 1]",True,
n06-768-workers2-terminal-noop-r2,passed,measured,True,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01/n06-768-workers2-terminal-noop-r2/summary.json,768,448,2,terminal-noop,40.84965979530265,2211,36.551435777990356,116.0,152.699951171875,308.7499511718768,471.599853515625,1.2211668928086838,0.0,0.0,150.300048828125,"[0, 1]",True,
n06-1024-workers1-baseline-r2,passed,measured,True,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01/n06-1024-workers1-baseline-r2/summary.json,1024,576,1,baseline,50.20762434925763,524,8.682770679541584,187.2498779296875,235.16995849609376,255.5789624023437,358.900146484375,1.717557251908397,0.0,0.0,237.39990234375,[0],True,
n06-1024-workers1-terminal-noop-r2,passed,measured,True,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01/n06-1024-workers1-terminal-noop-r2/summary.json,1024,576,1,terminal-noop,53.1945726927711,748,12.387777202426147,158.699951171875,186.16507568359376,225.3830517578122,358.89990234375,0.40106951871657753,0.0,0.0,202.800048828125,[0],True,
n06-1024-workers2-baseline-r2,passed,measured,True,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01/n06-1024-workers2-baseline-r2/summary.json,1024,576,2,baseline,52.68607878059893,1048,17.363210868574743,191.10009765625,229.89990234375,246.77699707031246,320.199951171875,0.7633587786259542,0.0,0.0,148.5,"[0, 1]",True,
n06-1024-workers2-terminal-noop-r2,continuity-failed,invalid,True,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01,/Users/nerddisco/.t3/worktrees/vj0/t3code-78489133/docs/performance/2026-09-18/scaling/archived-cohorts/matrix-01/n06-1024-workers2-terminal-noop-r2/summary.json,1024,576,2,terminal-noop,33.22759898110521,1130,18.71744110102138,173.8499755859375,2743.7499023437485,5676.178957519532,7122.099853515625,29.02654867256637,25.84070796460177,16.63716814159292,1970.89990234375,"[0, 1]",True,Worker 0: arrival gap over 2 seconds; Worker 1: arrival gap over 2 seconds
