name,status,width,height,workers,variant,seconds,sent_fps,received_fps,stage_fps,age_p50_ms,age_p95_ms,age_p99_ms,age_max_ms,stage_gap_max_ms,worker_gap_max_ms,encode_p50_ms,encode_p95_ms,pulses,timely_pulses,uncaptured_pulses,unobserved_pulses
n06-512-workers1-baseline-r0,passed,512,288,1,baseline,60.37699975585937,43.12900625287018,28.32204327665438,28.28891807983958,106.000244140625,135.7001953125,174.15514648437522,281.30029296875,181.199951171875,186.699951171875,12.1500244140625,27.900146484375,19,19,0,0
n06-512-workers1-terminal-noop-r0,passed,512,288,1,terminal-noop,60.439,42.505666870729165,37.60816691209318,37.55853008818809,80.89990234375,110.45506591796877,152.87002685546838,264.5,160.900146484375,194.0,10.900146484375,27.26000976562499,19,19,0,0
n06-512-workers2-baseline-r0,passed,512,288,2,baseline,60.41210009765625,49.46029015991653,43.76606666091677,43.74951368562898,85.300048828125,135.18002929687512,197.24806152343746,280.39990234375,209.699951171875,233.2998046875,7.1500244140625,23.0,19,19,0,0
n06-512-workers2-terminal-noop-r0,passed,512,288,2,terminal-noop,60.36810009765625,51.64979508972578,51.48414468854,51.401319487947106,64.699951171875,93.28981933593751,107.997998046875,159.89990234375,91.599853515625,175.7001953125,8.900146484375,22.89990234375,19,19,0,0
n06-768-workers1-baseline-r0,passed,768,448,1,baseline,60.3742998046875,47.48709317167773,15.155455267556722,15.155455267556722,143.500244140625,187.52011718749998,226.686181640625,361.400146484375,216.89990234375,241.800048828125,10.199951171875,25.699951171875,19,18,0,1
n06-768-workers1-terminal-noop-r0,passed,768,448,1,terminal-noop,60.43590014648437,40.671190369338525,21.493847147994607,21.493847147994607,140.800048828125,622.2599853515618,925.5341406249998,1200.699951171875,523.800048828125,521.5,12.60009765625,29.699951171875,19,18,0,1
n06-768-workers2-baseline-r0,passed,768,448,2,baseline,60.41099975585937,42.12808942552148,28.27299675394526,28.27299675394526,143.60009765625,177.26510009765627,214.05296142578138,308.10009765625,189.099853515625,235.199951171875,11.0,28.280029296875018,19,19,0,0
n06-768-workers2-terminal-noop-r0,passed,768,448,2,terminal-noop,60.35539990234375,44.08884713390271,37.52771092006375,37.47800534268618,109.2999267578125,142.1899536132812,166.13904052734372,246.400146484375,124.599853515625,192.5,8.900146484375,27.39990234375,19,19,0,0
n06-1024-workers1-baseline-r0,passed,1024,576,1,baseline,60.373,54.113593825054245,8.629685455418814,8.629685455418814,191.199951171875,226.699951171875,246.1999511718749,265.699951171875,145.60009765625,144.7998046875,8.099853515625,20.770092773437483,19,9,0,10
n06-1024-workers1-terminal-noop-r0,passed,1024,576,1,terminal-noop,60.39580004882812,50.036591907993724,12.3352948284101,12.3352948284101,164.400146484375,211.740283203125,359.00013671875,494.400146484375,293.5,286.0,10.0,23.595092773437482,19,18,0,1
